id,caseNo,detectionDate,category,brand,outletCode,outletName,province,status,estimatedFraud,description,assignedTo,linkedPlanningId,notes
fds_001,FDS-2026-001,2026-03-15,Customer Point,PHR,R316,Mataram Sriwijaya,Sumatera Selatan,Closed,5500000,Anomalous point accumulation pattern detected,aud_2,pln_012,"Audit completed, no fraud confirmed"
fds_002,FDS-2026-002,2026-03-20,Customer Point,PHR,R201,Modernland,Banten,Investigation,4200000,High-frequency point redemption flagged,aud_3,,
fds_003,FDS-2026-003,2026-03-25,Customer Point,PHD,C073,Sangatta Kalimantan Timur,Kalimantan Timur,Investigation,3800000,Bulk point manipulation detected,aud_2,,
fds_004,FDS-2026-004,2026-04-01,Customer Point,PHR,R105,Cibubur Junction,DKI Jakarta,Hold,2900000,Duplicate point entry detected,aud_4,,On hold pending system verification
fds_005,FDS-2026-005,2026-04-01,Customer Point,PHD,C089,Bekasi Timur,Jawa Barat,Closed,7200000,Point abuse confirmed,aud_3,pln_013,Case confirmed and closed
fds_006,FDS-2026-006,2026-04-05,Customer Point,PHR,R322,Bandung Supermall,Jawa Barat,Closed,4100000,Irregular loyalty transactions,aud_2,,
fds_007,FDS-2026-007,2026-04-10,Customer Point,PHR,R241,Depok Dua Tengah,Jawa Barat,Investigation,6300000,Massive point issuance without transaction,aud_3,,Investigating employee involvement
fds_008,FDS-2026-008,2026-04-10,Customer Point,PHD,C012,Kelapa Gading,DKI Jakarta,Investigation,3400000,Suspicious employee-linked point usage,aud_4,,
fds_009,FDS-2026-009,2026-04-15,Customer Point,PHR,S025,Citra Indah Jonggol,Jawa Barat,Hold,2600000,Auto-generated point entries flagged,aud_2,,
fds_010,FDS-2026-010,2026-04-15,Customer Point,PHD,C057,Kenjeran Surabaya,Jawa Timur,Closed,5900000,Confirmed point fraud at outlet level,aud_3,,
fds_011,FDS-2026-011,2026-04-20,Customer Point,PHR,R316,Mataram Sriwijaya,Sumatera Selatan,Investigation,4800000,Manager-level point manipulation,aud_2,,
fds_012,FDS-2026-012,2026-04-25,Customer Point,PHR,H001,Hayo Pantai Indah Kapuk,DKI Jakarta,Planned,1900000,Small-scale point manipulation detected,aud_4,,
fds_013,FDS-2026-013,2026-05-01,Customer Point,PHD,C089,Bekasi Timur,Jawa Barat,Closed,3300000,Cashier-linked point abuse,aud_3,,
fds_014,FDS-2026-014,2026-05-05,Customer Point,PHR,R105,Cibubur Junction,DKI Jakarta,Planned,2100000,Irregular point entry pattern,aud_2,,
fds_015,FDS-2026-015,2026-05-10,Customer Point,PHD,C073,Sangatta Kalimantan Timur,Kalimantan Timur,Planned,2800000,Points added without valid transaction,aud_4,,
fds_016,FDS-2026-016,2026-05-15,Customer Point,PHR,R201,Modernland,Banten,Planned,3600000,Loyalty app exploitation detected,aud_3,,
fds_017,FDS-2026-017,2026-05-20,Customer Point,PHD,C012,Kelapa Gading,DKI Jakarta,Closed,5100000,Confirmed customer point abuse,aud_2,,
fds_018,FDS-2026-018,2026-05-25,Customer Point,PHR,R322,Bandung Supermall,Jawa Barat,Planned,2300000,Suspicious point redemption cluster,aud_4,,
fds_019,FDS-2026-019,2026-06-01,Customer Point,PHR,H022,Hayo Sunter,DKI Jakarta,Planned,1700000,Low-value point manipulation detected,aud_3,,
fds_020,FDS-2026-020,2026-06-05,Customer Point,PHD,C057,Kenjeran Surabaya,Jawa Timur,Hold,4400000,Cross-outlet point manipulation ring,aud_2,,
