id,resultId,planningId,actionNo,actionTitle,description,picName,dueDate,completionDate,status,recovery,picDepartment,createdAt
act_001,res_001,pln_001,AAP-001-1,Penonaktifan Akun Cashier Terkait,Menonaktifkan akun cashier ID A-041 dan melakukan investigasi disiplin sesuai SOP HR.,HR Manager Outlet,2025-10-15,2025-10-10,Closed,50000000,Human Resources,2025-09-15T00:00:00Z
act_002,res_001,pln_001,AAP-001-2,Penerapan Dual Control untuk Void,Mensyaratkan otorisasi dua supervisor untuk setiap void di atas Rp 500 ribu.,Area Manager,2025-11-01,2025-10-28,Closed,50000000,Operations,2025-09-15T00:00:00Z
act_003,res_001,pln_001,AAP-001-3,Recovery dari Karyawan,Proses pemotongan gaji dan cicilan untuk recovery kerugian Rp 20jt.,Finance Manager,2026-03-01,,Open,0,Finance,2025-09-15T00:00:00Z
act_004,res_002,pln_001,AAP-002-1,Pembatasan Kewenangan Diskon Manual di Sistem,Update konfigurasi POS untuk batasi diskon manual maksimum 10% tanpa otorisasi manager.,IT POS Team,2025-10-30,2025-10-25,Closed,50000000,Information Technology,2025-09-15T00:00:00Z
act_005,res_002,pln_001,AAP-002-2,Sosialisasi Ulang SOP Diskon,Pelaksanaan training SOP diskon kepada seluruh cashier dan supervisor.,Training Manager,2025-11-15,2025-11-10,Closed,50000000,Human Resources,2025-09-15T00:00:00Z
act_006,res_003,pln_002,AAP-003-1,Audit IT Review Log Override,IT Security melakukan review menyeluruh log override cashier terminal.,IT Security Manager,2025-10-20,2025-10-15,Closed,70000000,Information Technology,2025-09-28T00:00:00Z
act_007,res_003,pln_002,AAP-003-2,Ganti Protokol Autentikasi Terminal,Implementasi two-factor authentication untuk override cashier terminal.,IT Infrastructure,2025-12-01,2025-11-25,Closed,80000000,Information Technology,2025-09-28T00:00:00Z
act_008,res_004,pln_003,AAP-004-1,Stock Opname Bulanan Mandatory,Mewajibkan stock opname fisik setiap bulan dengan laporan yang ditandatangani supervisor.,Store Manager,2025-12-15,2025-12-10,Closed,15000000,Operations,2025-11-30T00:00:00Z
act_009,res_005,pln_004,AAP-005-1,Rekonsiliasi Harian Wajib,Implementasi rekonsiliasi kas harian yang dilaporkan ke Area Manager setiap hari.,Finance Controller,2026-02-01,2026-01-25,Closed,280000000,Finance,2026-01-15T00:00:00Z
act_010,res_005,pln_004,AAP-005-2,Recovery Cicilan Karyawan,Recovery Rp 40jt melalui skema pemotongan gaji 12 bulan.,HR & Finance,2027-01-20,,Open,0,Human Resources,2026-01-15T00:00:00Z
