id,caseNo,reportDate,category,brand,outletCode,outletName,province,status,severity,estimatedFraud,description,initialIndication,assignedTo,resolvedDate,linkedPlanningId,notes,picDepartment,createdAt
wbs_001,WBS-2025-001,2025-08-05,Sales Fraud,PHR,R241,Depok Dua Tengah,Jawa Barat,Closed,High,250000000,Sales manipulation through void transactions,Void transaksi melebihi threshold normal selama 3 bulan,aud_2,2025-09-15,pln_001,Case resolved with recovery,,2025-08-05T00:00:00Z
wbs_002,WBS-2025-002,2025-08-12,Sales Payment Manipulation,PHD,C057,Kenjeran Surabaya,Jawa Timur,Closed,High,180000000,Payment manipulation via cashier terminal,Cashier terminal override tanpa otorisasi supervisor,aud_3,2025-10-01,pln_002,,,2025-08-12T00:00:00Z
wbs_003,WBS-2025-003,2025-11-03,Inventory Theft,PHR,R105,Cibubur Junction,DKI Jakarta,Closed,Medium,15000000,Missing inventory items,Selisih stok opname bulanan dengan catatan sistem,aud_2,2025-12-01,pln_003,,,2025-11-03T00:00:00Z
wbs_004,WBS-2025-004,2025-12-01,Cash Deposit Fraud,PHD,C089,Bekasi Timur,Jawa Barat,Closed,High,320000000,Cash deposit not recorded,Rekonsiliasi harian menunjukkan selisih kas berturut-turut,aud_3,2026-01-20,pln_004,,,2025-12-01T00:00:00Z
wbs_005,WBS-2026-001,2026-01-10,Sales Fraud,PHR,R322,Bandung Supermall,Jawa Barat,Closed,High,190000000,Fake promotional discounts,Diskon promo diberikan di luar periode promosi yang disetujui,aud_2,2026-02-28,pln_005,,,2026-01-10T00:00:00Z
wbs_006,WBS-2026-002,2026-02-08,Paid Out Manipulation,PHD,C012,Kelapa Gading,DKI Jakarta,Closed,Medium,45000000,Unauthorized paid-out transactions,Paid-out tidak didukung bukti fisik yang valid,aud_3,2026-03-15,pln_006,,,2026-02-08T00:00:00Z
wbs_007,WBS-2026-003,2026-02-20,Sales Fraud,PHR,R241,Depok Dua Tengah,Jawa Barat,On Hold,High,380000000,Suspected repeat fraud investigation pending,Pola void transaksi mirip dengan kasus WBS-2025-001,aud_2,,,On hold pending HR approval,,2026-02-20T00:00:00Z
wbs_008,WBS-2026-004,2026-03-05,Sales Payment Manipulation,PHR,S025,Citra Indah Jonggol,Jawa Barat,Investigation,Medium,90000000,Discount manipulation on delivery orders,Diskon delivery di atas 30% tanpa approval manajemen,aud_3,,pln_007,,,2026-03-05T00:00:00Z
wbs_009,WBS-2026-005,2026-04-01,Cash Deposit Fraud,PHD,C073,Sangatta Kalimantan Timur,Kalimantan Timur,Closed,Low,12000000,Minor cash shortage,Laporan kasir harian tidak sesuai dengan setoran bank,aud_2,2026-04-30,pln_008,,,2026-04-01T00:00:00Z
wbs_010,WBS-2026-006,2026-04-15,Paid Out Manipulation,PHR,R316,Mataram Sriwijaya,Sumatera Selatan,Closed,Medium,35000000,Fictitious paid-out claims,Klaim operasional fiktif untuk utilitas dan kebersihan,aud_3,2026-05-20,pln_009,,,2026-04-15T00:00:00Z
wbs_011,WBS-2026-007,2026-05-02,Sales Fraud,PHR,R201,Modernland,Banten,Closed,High,210000000,Unauthorized void of sales transactions,Void oleh karyawan yang sama melebihi Rp 5jt/hari,aud_2,2026-06-01,pln_010,,,2026-05-02T00:00:00Z
wbs_012,WBS-2026-008,2026-05-18,Inventory Theft,PHD,C057,Kenjeran Surabaya,Jawa Timur,Closed,Low,8500000,Missing high-value ingredients,Selisih stock opname untuk bahan premium >5%,aud_4,2026-06-10,pln_011,,,2026-05-18T00:00:00Z
